tolerance,num_comp_lm,accuracy
0,12,1.0
0.02,11,1.0
0.04,11,1.0
0.06,11,1.0
0.08,11,1.0
0.1,11,1.0
0.12000000000000001,11,1.0
0.14,11,1.0
0.16,11,1.0
0.18,11,1.0
0.19999999999999998,11,1.0
0.21999999999999997,11,1.0
0.23999999999999996,10,1.0
0.25999999999999995,10,1.0
0.27999999999999997,10,1.0
0.3,10,1.0
0.32,10,1.0
0.34,10,1.0
0.36000000000000004,10,1.0
0.38000000000000006,10,1.0
0.4000000000000001,10,1.0
0.4200000000000001,9,1.0
0.4400000000000001,9,1.0
0.46000000000000013,9,1.0
0.48000000000000015,9,1.0
0.5000000000000001,9,1.0
0.5200000000000001,8,1.0
0.5400000000000001,8,1.0
0.5600000000000002,8,1.0
0.5800000000000002,8,1.0
0.6000000000000002,8,1.0
0.6200000000000002,8,1.0
0.6400000000000002,8,1.0
0.6600000000000003,7,1.0
0.6800000000000003,7,1.0
0.7000000000000003,7,1.0
0.7200000000000003,7,1.0
0.7400000000000003,7,1.0
0.7600000000000003,7,1.0
0.7800000000000004,7,1.0
0.8000000000000004,7,1.0
0.8200000000000004,6,1.0
0.8400000000000004,6,1.0
0.8600000000000004,6,1.0
0.8800000000000004,6,1.0
0.9000000000000005,6,1.0
0.9200000000000005,6,1.0
0.9400000000000005,6,1.0
0.9600000000000005,6,1.0
0.9800000000000005,6,1.0
