LM1,LM2,REF,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
3s1,1c4,0.037,0.032,0.12,0.079,0.04,0.04,0.012
os2,1c4,0.213,0.023,0.701,0.099,0.132,0.133,0.003
1s3,1c4,0.566,0.509,0.114,0.282,0.146,0.138,0.246
bo3,1c4,0.133,0.418,0.034,0.243,0.388,0.397,0.297
1s5,1c4,0.05,0.017,0.027,0.122,0.02,0.02,0.018
25b,1c4,0.0,0.0,0.0,0.173,0.252,0.251,0.343
5s1,1c4,0.001,0.001,0.004,0.001,0.021,0.021,0.0
1e,1c4,0,0,0,0,0,0,0.079
