LM1,TS,LM2,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4c1,4h5,1s5,12.722,12.08,6.744,n/a,3.872,2.986,2.986,n/a,3.251
4c1,b25,1s5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h5,os2,12.722,12.08,n/a,n/a,3.872,2.986,2.986,n/a,n/a
4c1,oh5,1s5,14.74,14.363,6.592,n/a,4.917,n/a,n/a,n/a,4.548
4c1,4h3,bo3,8.199,7.145,n/a,n/a,3.356,2.587,2.587,1.094,2.035
4c1,e3,bo3,5.992,5.46,6.19,n/a,3.139,3.437,3.437,1.094,1.975
4c1,4h5,bo3,n/a,n/a,n/a,n/a,3.872,n/a,n/a,n/a,3.251
4c1,oh1,5s1,12.856,12.362,n/a,n/a,5.632,5.209,5.209,n/a,n/a
4c1,2h1,5s1,13.137,12.113,n/a,n/a,3.884,3.91,3.91,n/a,n/a
4c1,oh5,os2,14.74,14.363,6.592,n/a,4.917,2.677,2.677,-1.052,4.548
4c1,oh1,3s1,12.856,12.362,7.213,n/a,5.632,5.209,5.209,n/a,4.986
4c1,4h3,1s3,8.199,7.145,5.54,n/a,3.356,2.587,2.587,n/a,2.035
4c1,4e,1s3,9.126,9.035,5.451,n/a,3.65,2.626,2.626,n/a,2.107
4c1,4e,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.492,2.107
4c1,oh1,os2,12.856,12.362,n/a,n/a,n/a,5.209,5.209,n/a,n/a
4c1,b25,os2,8.799,8.809,n/a,n/a,n/a,2.845,2.845,n/a,n/a
4c1,3ob,1s5,8.338,8.918,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2h1,3s1,13.137,12.113,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,3s1,14.74,14.363,6.592,n/a,n/a,2.677,2.677,n/a,n/a
4c1,3ob,3s1,8.338,8.918,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,5s1,11.43,10.627,n/a,n/a,n/a,1.847,1.847,n/a,n/a
4c1,3ob,os2,8.338,8.918,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,e3,1s3,5.992,5.46,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,3s1,n/a,10.627,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4h3,1s5,8.199,7.145,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,4e,1s5,9.126,9.035,n/a,4.722,n/a,n/a,n/a,n/a,n/a
4c1,2h1,25b,n/a,n/a,n/a,n/a,n/a,3.91,3.91,n/a,n/a
4c1,4h5,3s1,n/a,n/a,n/a,n/a,n/a,2.986,2.986,n/a,n/a
4c1,b25,3s1,n/a,n/a,n/a,n/a,n/a,2.845,2.845,n/a,n/a
4c1,4h5,1s3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.95,n/a
4c1,oh1,25b,n/a,n/a,n/a,n/a,n/a,5.209,5.209,n/a,n/a
4c1,e3,e3,n/a,n/a,n/a,n/a,n/a,3.437,3.437,n/a,n/a
4c1,2h1,bo3,13.137,n/a,n/a,n/a,n/a,n/a,n/a,1.914,n/a
4c1,oh1,bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,2e,3s1,14.757,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,5h4,5s1,11.74,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,25b,bo3,11.43,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4c1,oh5,1s3,14.74,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
