method,gibbs_phys_RMSD,gibbs_RMSD
REF,1.2506,1.2506
B3LYP,3.18758,3.18758
DFTB,2.82493,2.82493
AM1,3.76499,3.74342
PM3,4.77177,4.71617
PM3MM,4.78441,4.73888
PM6,3.568,3.4177
