LM1,TS,LM2,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
3s1,3h2,1c4,0.379,0.279,0.23,0,0.012,0,0,0,0.003
os2,3h2,1c4,0.379,0.279,0.23,0,0.012,0.014,0.014,0.001,0.003
os2,b25,1c4,0.193,0.329,0,0,0.324,0.171,0.171,0,0.005
1s3,eo,1c4,0,0,0,0,0.0,0,0,0.013,0.0
bo3,eo,1c4,0,0,0,0,0.0,0,0,0.013,0.0
1s3,14b,1c4,0,0,0,0,0,0,0,0.186,0.179
1s3,1h2,1c4,0.01,0.027,0.136,0,0.043,0.021,0.021,0.027,0.229
1s3,1ho,1c4,0.0,0.0,0.002,0,0.001,0.011,0.011,0.13,0.0
1s5,1h2,1c4,0.01,0.027,0.136,1.0,0.043,0.021,0.021,0.027,0.229
1s3,5e,1c4,0.001,0.002,0.026,0,0.158,0.146,0.146,0.436,0.081
bo3,5h4,1c4,0.001,0.003,0,0,0.043,0.05,0.05,0,0
25b,5h4,1c4,0.001,0.003,0.029,0,0.043,0.05,0.05,0,0
bo3,5e,1c4,0.001,0.002,0.026,0,0.158,0.146,0.146,0,0.081
3s1,3h4,1c4,0.0,0.007,0.073,0,0.003,0.03,0.03,0.009,0
25b,5e,1c4,0.001,0.002,0.026,0,0.158,0.146,0.146,0,0
bo3,1ho,1c4,0.0,0.0,0,0,0,0.011,0.011,0,0
bo3,1h2,1c4,0.01,0.027,0,0,0,0.021,0.021,0,0
3s1,5h4,1c4,0.001,0.003,0.029,0,0,0.05,0.05,0,0
5s1,5h4,1c4,0.001,0.003,0.029,0,0,0.05,0.05,0.0,0
3s1,5e,1c4,0.001,0.002,0,0,0,0,0,0,0
1s3,5h4,1c4,0.001,0.003,0.029,0,0,0,0,0,0
5s1,5e,1c4,0,0,0,0,0,0,0,0,0
1s5,1ho,1c4,0,0,0,0,0,0,0,0,0
5s1,25b,1c4,0,0,0,0,0,0,0,0,0
os2,1h2,1c4,0.01,0,0,0,0,0.021,0.021,0,0
3s1,3s1,1c4,0,0,0,0,0,0.038,0.038,0,0.0
os2,3h4,1c4,0,0,0,0,0,0,0,0.009,0.0
bo3,1s3,1c4,0,0,0,0,0,0,0,0.084,0
1e,1h2,1c4,0,0,0,0,0,0,0,0.027,0
os2,3ob,1c4,0,0,0,0,0,0,0,0.006,0.0
1s5,b25,1c4,0,0,0,0,0,0,0,0.001,0.005
1s5,3h2,1c4,0,0,0,0,0,0,0,0.001,0.003
5s1,3s1,1c4,0,0,0,0,0,0,0,0.0,0
1s3,1c4,1c4,0,0,0,0,0,0,0,0.029,0
3s1,3ob,1c4,0,0,0,0,0,0,0,0,0
os2,3s1,1c4,0,0,0,0,0,0,0,0,0.0
1s5,14b,1c4,0,0,0,0,0,0,0,0,0.179
3s1,b14,1c4,0,0,0,0,0,0,0,0,0.0
