method,arc_phys_WRMSD,arc_WRMSD
REF,0.05743,0.05743
B3LYP,0.05791,0.05791
DFTB,0.0894,0.0905
DFTB3,0.07588,0.07588
AM1,0.10825,0.10787
PM3,0.11116,0.1162
PM3MM,0.11116,0.1162
PM6,0.22341,0.21738
PM7,0.14225,0.14263
