method,gibbs_phys_RMSD,gibbs_RMSD
REF,2.52084,2.52084
B3LYP,2.28462,2.28462
DFTB,4.29001,4.27488
AM1,5.81141,5.69587
PM3,6.53512,6.46264
PM3MM,6.53512,6.46264
PM6,4.35401,4.05566
