LM1,TS,LM2,REF,B3LYP,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
3s1,3h2,1c4,0.805,1.148,3.03,n/a,2.1,n/a,n/a,n/a,0.356
os2,3h2,1c4,1.846,0.941,4.105,n/a,2.24,2.857,2.865,0.213,-0.434
os2,b25,1c4,2.246,0.843,n/a,n/a,0.29,1.354,1.361,n/a,-0.703
1s3,eo,1c4,n/a,n/a,n/a,n/a,4.754,n/a,n/a,1.542,5.96
bo3,eo,1c4,n/a,n/a,n/a,n/a,4.666,n/a,n/a,1.654,5.896
1s3,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.021,1.281
1s3,1h2,1c4,4.581,4.174,3.314,n/a,2.098,2.65,2.614,1.129,1.133
1s3,1ho,1c4,9.24,8.447,5.843,n/a,4.348,3.022,2.986,0.195,5.461
1s5,1h2,1c4,3.145,2.166,2.471,2.347,1.601,1.479,1.459,-0.405,1.004
1s3,5e,1c4,6.046,5.66,4.294,n/a,1.334,1.51,1.474,-0.524,1.75
bo3,5h4,1c4,7.306,7.23,n/a,n/a,2.012,2.716,2.73,n/a,n/a
25b,5h4,1c4,-1.924,0.809,-0.605,n/a,1.811,2.461,2.459,n/a,n/a
bo3,5e,1c4,7.586,7.477,3.569,n/a,1.246,2.087,2.1,n/a,1.686
3s1,3h4,1c4,4.972,3.296,3.712,n/a,2.886,1.683,1.683,0.005,n/a
25b,5e,1c4,-1.644,1.057,-0.536,n/a,1.045,1.831,1.829,n/a,n/a
bo3,1ho,1c4,10.78,10.263,n/a,n/a,n/a,3.599,3.612,n/a,n/a
bo3,1h2,1c4,6.121,5.99,n/a,n/a,n/a,3.227,3.241,n/a,n/a
3s1,5h4,1c4,4.146,3.774,4.254,n/a,n/a,1.377,1.377,n/a,n/a
5s1,5h4,1c4,1.952,1.777,2.251,n/a,n/a,0.994,0.994,-0.747,n/a
3s1,5e,1c4,4.427,4.021,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s3,5h4,1c4,5.766,5.413,4.225,n/a,n/a,n/a,n/a,n/a,n/a
5s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1s5,1ho,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5s1,25b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,1h2,1c4,4.002,n/a,n/a,n/a,n/a,2.588,2.595,n/a,n/a
3s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,1.55,1.55,n/a,1.898
os2,3h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.867,2.541
bo3,1s3,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.561,n/a
1e,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.458,n/a
os2,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.604,2.506
1s5,b25,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.437,3.217
1s5,3h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.321,3.485
5s1,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-0.231,n/a
1s3,1c4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.079,n/a
3s1,3ob,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
os2,3s1,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.107
1s5,14b,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.152
3s1,b14,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.634
