LM1,TS,LM2,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
1s5,1e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.517,n/a,n/a,n/a
5s1,5e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.517,n/a,n/a,n/a
1s3,1ho,1c4,5.0,4.209,5.019,4.698,5.01,4.146,4.091,n/a,n/a,n/a,n/a,n/a
os2,3e,1c4,5.3,n/a,4.145,n/a,n/a,n/a,3.735,1.742,n/a,1.911,1.911,n/a
3s1,3e,1c4,5.3,3.876,n/a,n/a,4.65,n/a,3.733,1.764,n/a,n/a,n/a,n/a
2so,5ho,1c4,5.0,4.231,n/a,n/a,4.925,4.16,4.099,n/a,n/a,n/a,n/a,n/a
5s1,5h4,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.837,1.837,2.366
1s5,1h2,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.837,1.837,2.366
3ob,3e,1c4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.583
