phi,theta,energy (A.U.),G298 (Hartrees),Pucker,phi_lm2,theta_lm2,phi_lm1,theta_lm1
306.29628331508763,61.85328640533772,-0.470412034672,-0.308349,e5,235.43858607961846,1.7268367680268684,288.1306034535148,86.41549866526557
299.10040508966745,59.45572172874078,-0.474035500748,-0.312308,e5,320.015793732683,6.0960133396698035,325.4479682803149,88.9697631294218
303.6223464421611,49.7574252024058,-0.469299862765,-0.307393,e5,264.0774003186696,91.91463451206374,71.65837619107334,4.019556726502167
334.57382542631126,111.84021277024473,-0.474151245824,-0.31056,3h2,330.78549598066934,163.75211273953616,13.923382764615925,87.3777373344718
180.33897056523335,47.219666815810655,-0.473296484851,-0.311155,e3,162.18608637255628,82.24277589869023,235.4336434288955,1.7263577966483132
280.29542448199356,56.72348991821744,-0.470058917763,-0.308961,4h5,280.0802403669169,83.02218353482175,291.1265147534933,9.38071230656118
263.6016834937293,58.790322448489746,-0.474506665641,-0.313426,4h5,160.9184643422101,84.24376055808551,309.6006372791569,1.9377803323342322
279.0576366601138,56.25229166476269,-0.473147591643,-0.311144,4h5,301.3312715739187,7.0898107201896785,278.84630272671865,82.3844871868086
176.87886589944085,43.526682025015255,-0.470712534502,-0.309521,e3,131.64189944281534,2.9595976778585276,161.75056150568523,78.54498684330908
266.1242866893187,52.648243204144535,-0.47332292662,-0.311686,4h5,222.92354233150957,2.0088759231601894,276.16510979423464,85.17431525559117
269.85524600229064,58.61842619801359,-0.470915073789,-0.310152,4h5,255.5469292050359,0.7298778262375496,295.56141494986474,85.38115152208952
319.24470720348205,117.07181170038176,-0.474794579047,-0.311906,3h2,335.6972342972834,89.9502949534653,318.4197689446056,172.60772304987555
48.75114213099087,64.13425710315673,-0.469182107544,-0.307575,e1,325.90660350388356,4.960802676124501,83.50801794009902,83.49156128503351
71.37862615342611,59.63299433927389,-0.467836023193,-0.306725,e1,51.29168200097869,8.759454486989107,90.64021509141563,84.36660425044415
313.16872843042347,116.20565589208309,-0.470241216387,-0.306556,e2,324.0216641705678,91.16187504091943,5.031040677183339,169.2631881132001
190.51177088899058,120.73940786400345,-0.469204043759,-0.304916,eo,310.51939930506256,177.13294136911247,221.70452372722977,80.90221136800157
193.2289650906118,131.8852143366768,-0.472442325023,-0.307932,eo,191.71830099499476,84.29779601751787,291.33858670112187,169.826575589164
189.51869560655282,128.93756952581128,-0.471207999563,-0.30645,eo,313.43305687621086,160.39845173859655,172.0985087087951,81.8965413572264
193.0970655406549,123.45013333091647,-0.470180272318,-0.305564,eo,118.9143028182973,177.53992772484804,221.70306493976372,80.90204797408953
173.08198960903127,80.97730492335279,-0.477016088954,-0.312468,bo3,158.89235293775462,81.81276295385177,201.3917454078583,82.90559315085954
115.12637005078315,84.33193738919893,-0.473466424591,-0.309552,25b,157.3814497747491,80.24093962476934,92.76735857673756,79.90068005209666
122.2088378536822,84.46913470795675,-0.469203930691,-0.306903,25b,161.75068003928868,78.54500669581279,82.2385795433898,79.86453583569762
116.02029591875265,91.61797920621018,-0.472210909262,-0.308327,25b,150.31422821667076,84.24750659618729,91.36110001960495,81.30184971592956
350.99181730756686,54.54716391980928,-0.467110844474,-0.305559,oe,45.41435802908715,2.4167978163180037,287.54692411492266,87.79262577648072
251.7769726793353,109.43081167214129,-0.475695287436,-0.310368,1e,282.03854631018214,160.30239482280268,211.90180769371952,81.7659387553419
246.6121941484946,122.78157109172452,-0.472252612328,-0.308529,1e,205.94752453904863,83.75840952045804,306.6199482767569,171.4658658654667
251.55184087643124,115.10084416534585,-0.476456769629,-0.3107,1e,214.09485252809606,83.80906616317057,307.63685564140576,161.9547926465104
261.364272664978,129.69937427077562,-0.474580504206,-0.309365,1h2,346.4554550933547,161.43407111506474,212.1037032797337,82.06106621992046
274.2602141450787,117.95866791781476,-0.47602321495,-0.31159,1h2,313.4334913107131,160.39850719047257,264.6322957381127,90.46878987201798
266.3088421996366,118.28907889852027,-0.472953147376,-0.308516,1h2,282.4175255985689,158.12005192698584,254.86446951102226,96.94188041556022
202.35935093770078,40.09882228677176,-0.473153426548,-0.311536,4h3,153.61476126837482,3.6351491166524497,166.893764803386,81.11730372693512
138.77675912586403,111.6216051806076,-0.468361203907,-0.306206,5ho,114.65329118427785,156.58866384716364,210.4397619660564,83.36393449275297
106.1654432782458,149.8742401054531,-0.474644955341,-0.310916,5h4,159.2187462579193,85.24384892269273,99.99739316424822,155.689891060483
103.85066040873893,150.96033505432285,-0.474162183723,-0.310803,5h4,101.21025491680244,154.12783467111578,159.21858184751778,85.2438665884401
96.73071232757496,132.1778089350631,-0.473907872047,-0.309265,5h4,128.67311558752584,103.24223956551133,313.3033295665579,164.32339716366397
318.96104312265624,64.5719105998292,-0.46687852314,-0.305626,oh5,293.0647712303277,86.71839897722391,51.292095462263056,8.759872054911105
341.3247668774899,53.64841266031498,-0.467928534297,-0.306171,oh5,341.17897991549665,87.49515244036537,40.45907847471859,1.6175280584976077
336.1382802846979,51.260722691213495,-0.472958583947,-0.310773,oh5,351.19416509545687,87.90044091195703,228.38114201764972,3.1612948651997197
343.7573103501486,54.21352851916567,-0.468107795993,-0.306138,oh5,322.62670029964704,90.59202336135121,54.33488502964879,11.520596996052644
314.5559747255509,51.835096305332186,-0.470235109045,-0.308147,oh5,282.99520534835466,87.42351518781196,356.7176905843921,1.1893704262968667
317.75098489555205,51.467747662430476,-0.470971422453,-0.308382,oh5,317.70190075761275,89.5224888619242,101.52407551578199,1.1233426859646969
283.0602220357524,59.97049107589427,-0.471473423295,-0.309915,4h5,325.9140572763711,4.959907586355556,281.4828374760745,83.37377408201417
20.018804028996694,61.828904925100694,-0.468473725583,-0.306464,oh1,21.29616252222292,88.0703160139877,99.2768384009835,1.4237249855961476
27.94552485093518,63.00310837927837,-0.471027918688,-0.309142,oh1,14.14523210709,86.57454272440978,122.07860500523914,1.824810646312601
30.567661206318213,65.84091085177779,-0.468307981845,-0.306153,oh1,301.33202243330624,7.089620390361935,42.578836193057704,80.9294163072384
20.752687397627014,59.008776198817124,-0.471911069833,-0.309623,oh1,91.89949831056077,2.40028263019571,8.334669102246163,87.48184615579734
35.857837005427974,60.11537865308227,-0.468528976353,-0.306961,oh1,49.522498506306086,83.67381076756985,255.55615113082118,0.7299890407653927
307.2289186654814,88.1872544661113,-0.477806836094,-0.314087,b25,266.86603313427145,87.50394711662777,339.55376353181066,90.17941269766526
304.37463175909545,89.0609633512215,-0.477667744418,-0.313916,b25,336.5515601640154,89.72415359028841,264.6320000306292,90.46881048996805
292.1969476531384,90.98037708747097,-0.476577564068,-0.313356,b25,272.6341847303136,90.83680943916539,335.69658306476873,89.9503915052923
337.55756386015725,113.61676477902256,-0.473540133382,-0.310645,3h2,332.7694593482429,89.3331057330133,290.6966755086585,169.82573923480922
184.92560351070418,44.32731326598166,-0.475221601774,-0.312975,e3,164.89151685706096,79.39922545587875,142.89493943200696,2.291596579361456
336.5908055462429,115.59700425549168,-0.475385206128,-0.312041,3h2,310.03518759066037,169.53441525444998,339.55009002874823,90.17927285162948
333.9903987717729,117.2444621442435,-0.474359501406,-0.310945,3h2,318.8500447054414,172.44357155165704,338.0839421870746,89.26427755369598
184.17302609313361,52.633368653838474,-0.473957045321,-0.313207,e3,255.55814615511977,0.7300408073742064,159.9242419434596,80.97744607661804
208.3447382922963,52.421375044773654,-0.474813404681,-0.312544,4h3,267.42957747245845,1.4051701967335328,184.655435962937,79.95692381803772
267.52623791310936,73.15615689719918,-0.472969786707,-0.310936,1s5,159.9243793736261,80.97741960066416,281.2202040475091,83.13357795379035
255.9343263647366,82.9086142443353,-0.473603700907,-0.31187,1s5,209.0588990895189,79.2598860144586,278.84633555339934,82.38448212266364
259.27259542374304,82.89095015506646,-0.475694176791,-0.313123,1s5,189.1095849743432,83.97416327190695,280.6891354708109,86.20497257674357
146.2668153557445,135.47699205426548,-0.466555954973,-0.303473,5ho,291.33627732114036,169.82650220439453,173.56287868992578,82.26459032095255
244.48644329505234,49.32925353237821,-0.473137791365,-0.312347,4e,228.59842959040233,5.120127435674254,210.41923837834298,79.14289607004713
232.06689148953654,43.958376916111774,-0.47480701629,-0.313482,4e,197.7952995985054,79.20158664069919,249.33767488300168,9.188529007496005
243.9469793979812,49.543446804398165,-0.474345771299,-0.312349,4e,182.07341612264838,79.6156052911107,259.21833526212856,8.985166791247702
237.7328858079836,52.312737698267675,-0.473515206582,-0.312003,4e,206.2732396972693,80.4465589415248,347.4507070553793,0.6702760393985975
352.2597562795078,115.0208237931744,-0.475177382758,-0.310369,3e,10.081631646638403,161.25276362097125,354.0823724742577,89.94715737469846
349.6681023039828,115.85458298121188,-0.474593352551,-0.31111,3e,350.8448586281023,172.23711935582668,345.0997778502578,89.74400324961489
358.05640181514985,112.69010761984545,-0.473860046357,-0.308913,3e,12.93452287039516,90.65459768961779,327.4598065672917,164.77010394183986
349.93953126795924,114.80848984903018,-0.474581884778,-0.310159,3e,3.8552104014836397,162.8500138697916,8.33426750172346,87.48184326331483
358.36670064583654,113.08175697574909,-0.473510364422,-0.308881,3e,18.627192882476766,88.50214780044402,313.30620489423023,164.32391486020506
351.7652351791404,111.2456912872978,-0.474334764777,-0.31082,3e,353.9979642189288,161.8680397610724,352.2093892829886,89.2007277412794
241.33622345191748,80.38799787463115,-0.474188803136,-0.311533,14b,274.0983321207303,85.00547580936315,210.1419157755211,81.35536797132175
247.9962102319938,86.82437369364324,-0.477275880247,-0.314432,14b,214.0956775505894,83.80940402538603,265.0469377705971,86.54483663727999
60.73736945971136,85.06209588372454,-0.475815147083,-0.311566,b14,13.923049416425986,87.377680269944,109.88734531101282,112.57005144707753
261.1337848194971,131.98928064467725,-0.477127770007,-0.311444,1h2,274.73289820331786,149.46455305967925,218.48573378523471,85.59954470593168
266.962060626062,123.61594049472878,-0.473176829311,-0.308712,1h2,308.12793596257256,160.69494997529733,233.4894125815864,87.3288812831537
223.15543371730723,42.36888633561029,-0.47434415262,-0.311948,4h3,250.19602904500516,5.566166067213537,203.58213166891207,79.48906122396598
215.8714511989857,39.06687223274054,-0.473890554958,-0.312172,4h3,233.01830399407595,6.1532665475091015,166.70662164489443,82.49240978891862
215.15559104098327,40.49487956623479,-0.471112343109,-0.309701,4h3,250.1729741314609,3.7405403991992,195.1049264931157,79.4103740008612
227.38722506910545,43.15495414037699,-0.473507953962,-0.31183,4h3,288.916485352266,3.8884155409326193,167.2310777747674,82.57258529828154
215.55973374291045,43.773399915010515,-0.473802341336,-0.311707,4h3,212.1036710860772,82.0610634723683,81.47639767314534,3.415109296583752
