File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-glucose112-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58837952,258.945,0.188039,-34.387237,-34.437753,-56.3474,46.3244,264.7920197,126.7244322,0.516969847,1h2,47.83697347,-177.3687693,N/A,N/A,67.5343357,-55.62273406,1.4285862,1.534123439,1.555081791,1.574826491,1.563206538,1.468263854,1.420262605,1.424735825,1.423252877,1.425445211,1.405947253,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose113-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58639415,1147.9221,0.188137,-34.385391,-34.434634,-49.0888,107.5355,265.7586677,123.7793937,0.548311944,1h2,68.77108568,-61.60126063,N/A,N/A,67.4266225,-52.53706567,1.426508564,1.537955799,1.551899816,1.573181366,1.576935977,1.461707926,1.421131139,1.430005692,1.422959153,1.428492871,1.417921616,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose114-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58569796,1544.1866,0.188407,-34.384386,-34.433951,-45.1623,91.8921,272.4966171,121.4527689,0.521032551,1h2,67.97830695,62.19934089,N/A,N/A,-74.14555051,56.058113,1.411282906,1.540489268,1.550112562,1.573354085,1.576009711,1.45242547,1.432973518,1.425928076,1.422035083,1.429827769,1.415984102,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose118-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58224739,1249.374,0.188417,-34.380726,-34.431628,-62.4954,35.6891,211.4204756,126.1355991,0.459499881,1ho,-31.59043889,-160.3391247,N/A,N/A,57.65389087,-79.17566615,1.43199373,1.545399883,1.568716229,1.573077947,1.559569103,1.441643381,1.407055558,1.422635102,1.424056484,1.423580485,1.412181717,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose120-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59036623,2011.8068,0.187946,-34.389262,-34.43945,-33.0978,75.88,209.3246034,82.27052201,0.6907448,1s3,-76.00128904,-51.66303848,N/A,N/A,70.6513039,104.5324296,1.438995064,1.565822979,1.541191427,1.543594431,1.551369716,1.455508808,1.414032498,1.424446844,1.42352352,1.430720141,1.41298862,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose121-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58718501,710.5321,0.188389,-34.385557,-34.436703,-39.0396,42.3275,113.6927523,85.58490901,0.638088038,25b,41.37751836,-169.6039519,N/A,N/A,129.9416155,-173.0453121,1.446770203,1.538634893,1.541549898,1.550871996,1.554128875,1.458793264,1.410159863,1.427192213,1.423219367,1.425571224,1.404155985,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose122-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58300374,1151.3212,0.188681,-34.381235,-34.431634,-55.3658,45.5594,129.3333171,101.7805008,0.585164578,25b,68.12878056,-59.40696214,N/A,N/A,-97.08372743,144.7311666,1.433262804,1.561263399,1.550554939,1.562652459,1.550451396,1.440516195,1.414051378,1.431577055,1.43081277,1.42953334,1.421862308,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose129-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58488785,813.8356,0.187758,-34.383637,-34.437682,-45.7604,4.1554,104.9614168,85.51359224,0.646983379,25b,-119.3330531,114.2546182,N/A,N/A,-137.7267359,175.6439429,1.420015228,1.54831713,1.540171561,1.555010432,1.547085656,1.444171708,1.428696946,1.41898699,1.42435405,1.42927448,1.42131979,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose130-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5862596,1167.732,0.187932,-34.38494,-34.436317,-43.0033,48.6937,113.4365498,77.97953446,0.635825562,25b,-162.0456788,68.89918841,N/A,N/A,-138.8167058,-179.7324142,1.435452736,1.538242748,1.534538315,1.556873505,1.555207773,1.461319931,1.410956391,1.425888134,1.422852426,1.423480779,1.410376385,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose137-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58680862,302.2209,0.187952,-34.385375,-34.437417,-84.0817,25.7215,163.8119202,53.55078399,0.558210172,2h3,-74.61431874,54.53940878,N/A,N/A,-128.9096342,163.4679112,1.435515731,1.538705977,1.529951193,1.539671238,1.552968145,1.461324187,1.413410153,1.42958186,1.422236724,1.422439201,1.409144895,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose138-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58816186,216.0591,0.187939,-34.386849,-34.439867,-75.9363,6.6512,160.2208112,65.21559572,0.597485483,2h3,-49.39683666,-177.7913507,N/A,N/A,-115.4790283,159.9233665,1.440521361,1.542348874,1.529700307,1.540624999,1.555236717,1.47070051,1.413209347,1.427248111,1.420891095,1.41851615,1.405507549,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose139-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58631249,1605.6232,0.188798,-34.384658,-34.434342,-64.709,55.6632,137.6092698,106.0774471,0.565819426,2so,-74.47765396,52.50746678,N/A,N/A,86.37693221,-133.6990393,1.435405479,1.555733126,1.561878286,1.570099244,1.547490587,1.456121486,1.425816331,1.428208535,1.430457727,1.428957176,1.410500036,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose140-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58914591,1538.9306,0.188083,-34.38791,-34.438649,-63.4622,41.1586,343.5027299,107.2311267,0.602776948,3e,-76.12372203,49.8435446,N/A,N/A,-138.0001189,88.85138522,1.43576319,1.543475018,1.538496063,1.549809297,1.566007764,1.458692099,1.420243762,1.430049335,1.429719676,1.424336951,1.40990185,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose141-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58704901,1745.9853,0.188509,-34.385848,-34.435606,-91.3054,30.9756,7.207410294,114.6486553,0.502276969,3e,-46.01272233,80.66405762,N/A,N/A,-138.2654652,104.35886,1.455313396,1.55657522,1.549944259,1.546647957,1.551112915,1.448585144,1.407243917,1.429636872,1.418471411,1.434118717,1.412484701,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose142-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58877162,2009.2534,0.188532,-34.387513,-34.436749,-69.557,77.1738,336.3995233,114.8889248,0.563675255,3h2,57.04182845,69.08024095,N/A,N/A,125.888538,81.95999721,1.448934761,1.546626274,1.539486674,1.539502282,1.574260809,1.454601821,1.407224678,1.431367065,1.43374727,1.420534352,1.418407836,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose143-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58848244,3386.1859,0.188698,-34.387184,-34.436086,-70.018,83.901,338.3651958,115.2785404,0.563977442,3h2,-56.10858238,-70.0506229,N/A,N/A,-126.0776652,-82.30142861,1.451770708,1.544476559,1.542627563,1.541732214,1.572729872,1.452201451,1.407730894,1.432206565,1.432981258,1.423203786,1.418511252,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose144-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58859046,340.2721,0.18843,-34.387163,-34.437407,-90.1682,45.9948,328.5027447,118.5368752,0.537575646,3h2,51.87446774,-179.7816714,N/A,N/A,115.0952115,-75.49431815,1.437887521,1.543108836,1.544427289,1.553209159,1.555870844,1.463368052,1.423900062,1.422823492,1.419250276,1.433308316,1.405706509,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose145-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58780041,707.4576,0.188099,-34.386583,-34.437107,-88.2141,47.0146,330.4984226,117.4107375,0.540934852,3h2,-53.46396317,-178.1008075,N/A,N/A,117.5825749,-76.8863864,1.443115153,1.542734695,1.543716421,1.547814582,1.563945962,1.459100821,1.42214233,1.422614134,1.419336809,1.431756805,1.405398242,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose146-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5873511,480.8127,0.188247,-34.386007,-34.436539,-89.8288,43.1067,323.897546,120.9277103,0.516519584,3h2,51.28817744,-179.6627447,N/A,N/A,110.7423924,-73.95642335,1.427146453,1.539848702,1.541181121,1.551662937,1.567652476,1.473109247,1.423069874,1.428390329,1.420247255,1.425409311,1.40699583,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose148-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58868858,1390.3957,0.18822,-34.387365,-34.437794,-73.1177,51.7214,331.3493173,115.6869232,0.551111784,3h2,-175.2215439,-56.1906644,N/A,N/A,119.9755361,-77.75420952,1.439539632,1.544223575,1.543707035,1.552173172,1.556962457,1.452770271,1.423177156,1.423353182,1.419995888,1.436224817,1.41009238,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose149-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58839887,502.1202,0.188784,-34.387051,-34.436402,-91.677,35.724,19.62031705,116.3462583,0.499449744,3h4,-42.42708686,84.60048631,N/A,N/A,-138.0217154,110.640313,1.448882874,1.553784704,1.551404561,1.548239441,1.557567779,1.45197447,1.409608713,1.436443169,1.41652073,1.425483054,1.412697223,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose150-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58741355,4217.2209,0.188664,-34.386032,-34.435973,-93.7787,25.5379,19.24132745,117.3247709,0.492257228,3h4,42.73945031,84.53113767,N/A,N/A,137.1016405,-110.566362,1.44339593,1.560349695,1.548822647,1.546299387,1.558435183,1.454316556,1.410900159,1.434382859,1.415892367,1.424653854,1.412953131,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose151-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58636748,3530.7196,0.18872,-34.384998,-34.434645,-91.7254,31.8148,31.03912151,114.6942048,0.505600862,3h4,-37.78662167,-88.82483991,N/A,N/A,-140.4548713,118.5132735,1.463269444,1.565171542,1.554930598,1.544436341,1.5487787,1.442566447,1.406000087,1.428890689,1.416339113,1.431881339,1.409278112,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose152-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5837334,747.1667,0.187907,-34.382386,-34.435046,-84.329,20.0703,237.9498742,56.81423121,0.560216668,4e,103.580123,19.84508211,N/A,N/A,119.1263881,-119.3218937,1.450777343,1.569886524,1.541496687,1.535855777,1.544715926,1.443887387,1.414949228,1.427555271,1.42067919,1.424223175,1.413606173,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose153-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58797908,1165.6983,0.187898,-34.386777,-34.438429,-101.0488,29.0728,195.2775602,53.46293555,0.546597974,4h3,60.7433818,-64.49165594,N/A,N/A,118.0176544,-142.3314247,1.459272845,1.54484709,1.532519816,1.536943049,1.551168202,1.454406488,1.410103772,1.422596311,1.422181114,1.425991515,1.40832775,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose154-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59014047,787.1578,0.18812,-34.38885,-34.43997,-90.1976,32.9666,196.8931318,53.52369731,0.541862031,4h3,175.8310503,57.73931038,N/A,N/A,-118.0778752,141.6070864,1.459879289,1.545500829,1.532025669,1.536302973,1.550391367,1.450075901,1.408177675,1.423472548,1.423207182,1.420969673,1.41445044,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose155-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58910551,246.5027,0.188213,-34.387688,-34.438856,-87.5034,33.7231,202.2947826,54.85288649,0.548520813,4h3,-170.6214455,62.82324396,N/A,N/A,115.7113822,-137.602665,1.461312207,1.548696276,1.532907524,1.535798191,1.549199624,1.447557112,1.408206606,1.423549945,1.422720461,1.421614907,1.419495706,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose158-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58632111,133.7818,0.189179,-34.384458,-34.433694,-65.6398,63.3794,135.5863005,111.2321037,0.50166364,5e,-75.57223337,51.02749931,N/A,N/A,86.87956944,128.1353844,1.42573691,1.556605305,1.566883085,1.56698231,1.542600793,1.447891986,1.433461596,1.427768725,1.431362543,1.422971867,1.415470001,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose159-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5850687,1301.7885,0.188719,-34.383513,-34.433198,-66.5935,55.0502,135.8195182,108.5937138,0.519112168,5e,-74.70106948,52.47559284,N/A,N/A,-87.99574458,130.9291726,1.431546095,1.556360616,1.564059873,1.559436212,1.548592784,1.447410499,1.430568579,1.428020431,1.430696538,1.424730604,1.411305145,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose160-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58363962,3250.866,0.188944,-34.381916,-34.431569,-42.9206,46.2065,107.3107331,115.532727,0.493799104,5e,63.08571471,64.21065714,N/A,N/A,-105.4369575,135.1082328,1.432030643,1.575990784,1.55961001,1.54945883,1.543461903,1.438597823,1.418784012,1.430418353,1.43465508,1.420249645,1.413136398,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose161-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5869525,407.827,0.188117,-34.385586,-34.436156,-46.196,79.7528,117.8693125,134.4975908,0.514758003,5e,-58.58897029,178.835749,N/A,N/A,-83.49494999,-112.3051983,1.44097682,1.558866979,1.566867681,1.559906805,1.539891037,1.459465566,1.414412248,1.429062154,1.427409009,1.424511904,1.41043603,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose162-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58585616,1267.3864,0.187661,-34.384817,-34.435642,-44.5657,73.8247,114.0716909,136.7009211,0.503807738,5e,59.58870197,-177.4465013,N/A,N/A,-85.16513365,111.4534168,1.438455874,1.564352633,1.557010374,1.560062702,1.540672945,1.461202656,1.414828208,1.431202194,1.428505638,1.424458634,1.412601815,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose163-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5856051,3328.3744,0.187862,-34.384553,-34.434921,-37.975,79.7893,117.5973982,125.6611998,0.534659332,5e,-53.44083522,175.2483766,N/A,N/A,88.19770981,-121.1177262,1.428595386,1.569146666,1.569900212,1.556613504,1.540161952,1.449907529,1.424683913,1.429492991,1.4288479,1.425100028,1.411952094,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose164-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58631684,1689.964,0.187934,-34.385329,-34.435393,-49.5436,63.9284,120.1383206,123.4286182,0.540658148,5e,-45.07710141,-167.6513361,N/A,N/A,-90.29788766,125.0390081,1.440091224,1.571268395,1.570738022,1.557442487,1.541485115,1.451967361,1.416120971,1.428927982,1.428146154,1.424651141,1.417071169,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose165-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58468974,1496.3843,0.187899,-34.383613,-34.433961,-43.2581,65.7201,118.4279995,122.4680876,0.5457232,5e,-44.31906542,-166.6660253,N/A,N/A,-92.21801545,126.8554702,1.444047094,1.571368849,1.560729278,1.566856174,1.542552144,1.448047329,1.416310308,1.429681081,1.430624124,1.424235715,1.416310181,N/A,N/A,N/A,N/A,N/A,N/A
