method,gibbs_phys_RMSD,gibbs_RMSD
REFERENCE,1.39664,1.39664
B3LYP,1.14454,1.16302
APFD,1.34635,1.34453
DFTB,5.47502,5.37504
AM1,6.77525,6.65754
PM3,6.96335,6.78874
PM3MM,6.94886,6.71668
PM6,6.76785,6.25278
