LM1,TS,LM2,REF,B3LYP,APFD,DFTB,DFTB3,AM1,PM3,PM3MM,PM6,PM7
4c1,oe,3ob,0.0,0.0,0.0,0,0,0.012,0.005,0.005,0,0.002
4c1,oh1,3ob,0.0,0.0,0.0,0,0,0.026,0.004,0.004,0,0.006
4c1,4h3,2so,0.022,0.021,0.017,0,0.723,0.285,0,0,0,0
4c1,oh1,5s1,0.0,0.0,0.0,0,0,0.026,0,0,0,0
4c1,oh1,2so,0,0,0.0,0,0,0.026,0,0,0.051,0
4c1,4e,2so,0,0,0,0.341,0,0.23,0.05,0.05,0.389,0.944
4c1,4e,1s3,0,0,0,0.341,0.139,0.23,0,0,0,0
4c1,oh5,os2,0.0,0.0,0.0,0.07,0.034,0.017,0,0,0,0
4c1,oh5,3ob,0.0,0.0,0.0,0.07,0.034,0.017,0,0,0,0.003
4c1,4h5,1s5,0.0,0.0,0.0,0.108,0.036,0.066,0.208,0.208,0.507,0
4c1,4h5,os2,0,0,0,0,0,0.066,0.208,0.208,0,0
4c1,4h3,1s3,0,0.021,0.017,0,0,0,0,0,0,0
4c1,oh1,b14,0.0,0.0,0.0,0,0,0,0.004,0.004,0,0
4c1,2h3,5s1,0.057,0.054,0.09,0,0,0,0,0,0,0
4c1,2h3,2so,0.057,0.054,0.09,0,0,0,0,0,0,0
4c1,e3,2so,0.864,0.851,0.787,0,0,0,0,0,0,0
4c1,b14,5s1,0,0,0,0,0,0,0,0,0,0
4c1,oh5,1s5,0,0,0,0.07,0.034,0,0,0,0,0
4c1,2h1,5s1,0,0,0,0,0,0,0.021,0.021,0,0
4c1,4h5,b25,0,0,0,0,0,0,0.208,0.208,0,0
4c1,2e,2so,0,0,0,0,0,0,0.042,0.042,0,0
4c1,2e,5s1,0,0,0,0,0,0,0.042,0.042,0,0
4c1,4h5,3ob,0,0,0,0,0,0,0.208,0.208,0,0
4c1,oe,2so,0,0,0,0,0,0,0,0,0.053,0
4c1,4h5,1s3,0,0,0,0,0,0,0,0,0,0.045
