method,gibbs_phys_RMSD,gibbs_RMSD
REF,1.01063,1.01063
B3LYP,2.53865,2.72096
APFD,2.61294,2.856
DFTB,3.24626,3.24885
DFTB3,3.44917,3.45497
AM1,3.03697,3.08684
PM3,3.4155,3.41222
PM3MM,3.39802,3.35301
PM6,3.16947,2.94018
PM7,2.25291,2.24472
