method,gibbs_phys_RMSD,gibbs_RMSD
REF,1.82576,1.82576
B3LYP,1.37087,1.39205
APFD,1.88686,2.00215
DFTB,5.48102,5.30196
AM1,6.38661,6.65776
PM3,7.17765,6.92615
PM3MM,7.17765,6.85362
PM6,6.22411,6.68874
