method,arc_phys_WRMSD,arc_WRMSD
REF,0.04234,0.04234
B3LYP,0.05804,0.05804
APFD,0.04491,0.04491
DFTB,0.0388,0.0388
DFTB3,0.05543,0.05543
AM1,0.10274,0.10292
PM3,0.08413,0.08319
PM3MM,0.08408,0.08247
PM6,0.1148,0.12141
