method,REF,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.16425302601509767,0.18520696625614225,1.1609524990744375,0.5977439688839382,1.7652894910550028,0.4794095908758551,0.5059947038395255,5.316396632550502
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.076418993000006
1s3,6.845787627386702,6.656358015839898,7.204535511347207,3.895080206658557,2.695255660148151,3.754920371891091,3.7549203718910906,3.92095429762881
b14,10.512791359292631,10.71662609424013,10.567415992025214,n/a,6.48530551499999,3.8747734728771013,3.8747734728771013,n/a
2so,4.199999940679,4.423737307490076,5.353402741950179,3.6352754710103135,2.238865576680231,2.12536518142127,2.1980335894690426,2.582005651267009
3ob,7.854128969142552,8.39262095775861,7.221581906370746,2.949015805580968,3.2586502562121864,2.1299555499029164,2.164142177136791,3.5795930564226874
1s5,7.800870202870063,8.318327114609783,7.964104956714653,4.038379900943927,3.037290719427674,2.863919483714499,2.863919483714499,3.0186024465399863
b25,n/a,n/a,n/a,n/a,5.604910387999998,3.609653519877231,2.5723826186402556,4.583895774720367
5s1,8.684110384843242,8.475339640330116,9.015543051280313,4.504450668533245,2.691386100999992,2.1830164785037582,2.1830164785037582,n/a
os2,8.436331252512648,8.678151772122817,7.549161902337459,2.9754624825788536,3.5521237140529034,2.7200349902987546,2.6816743369413922,4.065630811000008
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.795552595000009
1c4,1.552861975654518,2.527369914157174,0.2623309770026557,0.2668964288415605,0.32843536443176147,0.6654745021618687,0.6865410601139852,0.39814368952727264
