method,arc_phys_WRMSD,arc_WRMSD
REF,0.02533,0.02533
B3LYP,0.03435,0.03435
APFD,0.07041,0.07041
DFTB,0.08279,0.08635
DFTB3,0.05982,0.05872
AM1,0.12032,0.11741
PM3,0.08131,0.07923
PM3MM,0.08201,0.0888
PM6,0.22345,0.21053
