tolerance,num_comp_lm,accuracy
0,13,1.083
0.02,13,1.182
0.04,13,1.182
0.06,13,1.182
0.08,13,1.182
0.1,13,1.182
0.12000000000000001,13,1.182
0.14,13,1.3
0.16,13,1.3
0.18,13,1.3
0.19999999999999998,13,1.3
0.21999999999999997,13,1.3
0.23999999999999996,13,1.444
0.25999999999999995,13,1.625
0.27999999999999997,13,1.625
0.3,13,1.857
0.32,13,1.857
0.34,12,1.714
0.36000000000000004,12,1.714
0.38000000000000006,12,1.714
0.4000000000000001,12,2.0
0.4200000000000001,12,2.0
0.4400000000000001,12,2.0
0.46000000000000013,12,2.0
0.48000000000000015,12,2.0
0.5000000000000001,12,2.0
0.5200000000000001,12,2.0
0.5400000000000001,12,2.0
0.5600000000000002,12,2.0
0.5800000000000002,12,2.0
0.6000000000000002,12,2.0
0.6200000000000002,12,2.0
0.6400000000000002,12,2.0
0.6600000000000003,12,2.0
0.6800000000000003,12,2.0
0.7000000000000003,12,2.0
0.7200000000000003,12,2.0
0.7400000000000003,12,2.0
0.7600000000000003,12,2.0
0.7800000000000004,12,2.0
0.8000000000000004,12,2.0
0.8200000000000004,12,2.0
0.8400000000000004,12,2.0
0.8600000000000004,12,2.0
0.8800000000000004,12,2.0
0.9000000000000005,12,2.0
0.9200000000000005,12,2.0
0.9400000000000005,12,2.0
0.9600000000000005,12,2.0
0.9800000000000005,12,2.0
