method,arc_phys_WRMSD,arc_WRMSD
REF,0.031,0.031
B3LYP,0.04168,0.04168
DFTB,0.03758,0.03758
AM1,0.05333,0.06123
PM3,0.05247,0.06793
PM3MM,0.05364,0.06591
PM6,0.08878,0.10313
PM7,0.08025,0.08986
