method,arc_phys_WRMSD,arc_WRMSD
REFERENCE,0.04392,0.04392
B3LYP,0.06492,0.06492
APFD,0.05093,0.05093
DFTB,0.03329,0.03329
AM1,0.10489,0.10504
PM3,0.08223,0.08236
PM3MM,0.08178,0.07993
PM6,0.13901,0.14314
