method,arc_phys_WRMSD,arc_WRMSD
REFERENCE,0.05553,0.05553
B3LYP,0.0604,0.0604
APFD,0.07591,0.08598
DFTB,0.13728,0.13553
AM1,0.13128,0.13934
PM3,0.13972,0.13048
PM3MM,0.14801,0.1419
PM6,0.2274,0.22131
