method,REFERENCE,B3LYP,APFD,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.00707,0.00357,0.00647,0.00568,0.01696,0.0331,0.03136,0.05544
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.23778
1s3,0.00632,0.03479,0.02784,0.03757,0.19688,0.23709,0.23709,0.11166
b14,0.02202,0.08406,0.13214,n/a,0.31113,0.21021,0.21021,n/a
2so,0.0,0.02534,0.02222,0.07209,0.06633,0.04755,0.05787,0.11794
5s1,0.02269,0.03096,0.05459,0.04048,n/a,0.08496,0.08496,n/a
3ob,0.07528,0.07725,0.08187,0.02944,0.09191,0.07157,0.06674,0.05509
1s5,0.03354,0.02632,0.02223,0.03037,0.03185,0.07817,0.07817,0.05009
b25,n/a,n/a,n/a,n/a,0.11336,0.08382,0.05934,0.10234
3s1,0.07157,0.05615,0.03681,0.01771,0.1968,0.03831,0.03831,0.23401
25b,0.0,0.13236,0.07409,0.10119,0.20234,0.1061,0.1061,0.39869
14b,0.0,0.1868,0.08786,0.05381,0.24625,0.14374,0.14374,0.2433
os2,0.04909,0.14691,0.08254,0.03398,0.08812,0.05506,0.05271,0.26311
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.27214
1c4,0.01405,0.01015,0.01029,0.01559,0.05044,0.04395,0.04192,0.09056
